Well Number,Month of Production,Days,BBLS Oil,BBLS Water,MCF Prod
23340,2-2018,28,1609,1637,839
23340,1-2018,31,2097,1860,1685
23340,12-2017,29,2130,1908,1560
23881,4-2018,30,1296,2207,1367
23881,3-2018,31,1404,2150,1252
23881,2-2018,28,1490,2296,1457
23881,1-2018,31,1599,2247,1890
23881,12-2017,31,1700,1994,1495
23881,11-2017,30,1648,2476,2252
23884,4-2018,30,732,708,443
23884,3-2018,31,898,596,445
23884,2-2018,28,893,849,263
23884,1-2018,31,882,901,193
23884,12-2017,31,1003,943,272
23884,11-2017,30,993,915,344
23885,4-2018,30,1806,2157,2342
23885,3-2018,31,1179,2081,1806
23885,2-2018,23,1072,2185,1126
23885,1-2018,31,1976,2761,2545
23885,12-2017,31,1983,2758,2504
23885,11-2017,30,1912,2781,2243
24206,5-2018,31,2173,1511,982
24206,4-2018,30,1773,1836,1317
24206,3-2018,31,1903,1849,1373
24206,2-2018,28,1597,1684,1227
24206,1-2018,31,2358,2436,1511
24206,12-2017,31,2455,2644,1620
24207,5-2018,31,7391,2595,13093
24207,4-2018,30,8919,4527,14969
24207,3-2018,31,11669,6602,15074
24207,2-2018,18,5163,2947,5582
24207,1-2018,29,10432,5596,9959
24207,12-2017,25,8625,4848,10748
24208,5-2018,31,2937,2337,1588
24208,4-2018,30,1888,2419,1719
24208,3-2018,31,2283,2461,1551
24208,2-2018,28,2222,2026,1318
24208,1-2018,31,3238,2551,1468
24208,12-2017,30,3676,2602,1404
24209,5-2018,31,7884,4767,13398
24209,4-2018,24,7925,2930,9913
24209,3-2018,30,9306,3685,15688
24209,2-2018,28,10430,3879,16751
24209,1-2018,29,12595,5068,16864
24209,12-2017,27,10741,5441,16469
24366,5-2018,31,2126,1552,2302
24366,4-2018,30,2202,1720,3079
24366,3-2018,31,2278,1646,1638
24366,2-2018,28,2063,1536,1367
24366,1-2018,29,2319,1730,1547
24366,12-2017,31,2942,1779,2395
24367,5-2018,31,1512,1552,1421
24367,4-2018,30,1547,1720,519
24367,3-2018,31,1585,1646,1355
24367,2-2018,28,1197,1536,1166
24367,1-2018,29,1559,1730,1437
